round,accuracy,loss,encrypt,aggregate,decrypt
0,0.025,10.344339752197266,0.0,0.0,0.0
1,0.025,4.234341192245483,0.17608312517404556,0.03666508384048939,0.011460000183433294
2,0.025,3.7142766952514648,0.1751229572109878,0.03407412488013506,0.010395582765340805
3,0.0375,3.697919178009033,0.17690679104998708,0.033137999940663576,0.010385582689195871
4,0.025,3.6904698848724364,0.17341108294203877,0.03385649994015694,0.010352582670748234
5,0.05,3.6357584476470945,0.1739095407538116,0.033116249833256006,0.010130417067557573
6,0.0875,3.5515467643737795,0.17423541704192758,0.03381095873191953,0.010554625187069178
7,0.0875,3.561578369140625,0.17305291630327702,0.033120875246822834,0.010362000204622746
8,0.125,3.34559850692749,0.17866599978879094,0.03292191680520773,0.01040645781904459
9,0.1625,3.1836673736572267,0.17225599894300103,0.033421500120311975,0.01039062486961484
10,0.2125,2.876067876815796,0.17584345769137144,0.0334927081130445,0.010488749947398901
11,0.2,2.7282591819763184,0.1745777907781303,0.03329045791178942,0.010455584153532982
12,0.25,2.614211988449097,0.17691487353295088,0.0330638331361115,0.010489082895219326
13,0.3375,2.2773776769638063,0.180867541115731,0.034405916929244995,0.010786458849906921
14,0.3875,2.0307425022125245,0.178012415766716,0.034573332872241735,0.010902958922088146
15,0.45,1.8893331050872804,0.1736742090433836,0.033120083156973124,0.0103749162517488
16,0.4875,1.8515695333480835,0.17409399943426251,0.033380499575287104,0.010454874951392412
17,0.5,1.4787617206573487,0.17296966770663857,0.03402400016784668,0.010560249909758568
18,0.625,1.409519338607788,0.17662441544234753,0.032935834024101496,0.010351584292948246
19,0.65,1.3652836084365845,0.17264145705848932,0.033355250023305416,0.010590000078082085
20,0.6375,1.1842981338500977,0.17372808512300253,0.03283695783466101,0.01041983300819993
21,0.675,1.101914930343628,0.17266079224646091,0.033029125072062016,0.01032287534326315
22,0.7125,0.9753811359405518,0.17307012528181076,0.032855124678462744,0.01027141697704792
23,0.7875,0.8980109930038452,0.17709487630054355,0.033324750140309334,0.010779667180031538
24,0.7875,0.898594057559967,0.1794656664133072,0.0348603748716414,0.010999707970768213
25,0.775,0.8129945993423462,0.17934091808274388,0.03350791707634926,0.010284250136464834
26,0.8125,0.8205187022686005,0.1755807502195239,0.0334371249191463,0.010405374690890312
27,0.8,0.766426283121109,0.17677799984812737,0.032966332975775,0.010427082888782024
28,0.8125,0.7499461948871613,0.17298020794987679,0.033085332717746496,0.010714208241552114
29,0.825,0.7182697892189026,0.17566537344828248,0.033599582966417074,0.010520042385905981
30,0.8375,0.8124486148357392,0.17431274987757206,0.03394979191944003,0.010457416996359825
