sigma,final_accuracy,dlg_psnr,dlg_ssim
0.0,0.8875,84.10112824628436,0.9999998120795516
0.01,0.8875,49.06514458938179,0.9986929941651606
0.05,0.875,35.13716881334966,0.9706409495237946
0.1,0.875,28.993514604940774,0.9020403330785545
0.25,0.8625,17.813871077275778,0.6028719499299138
0.5,0.9,9.256435641920898,0.1766395970589357
