image_id,round,psnr,ssim,mse,label,inferred_label,seed
90,2,20.054450030694223,0.7465773305636169,0.009875406851546472,9,9,1.0
130,2,18.80768181952753,0.69710847255046,0.013159270613304156,13,13,1.0
200,2,19.180025194701866,0.6728135022282951,0.012078068282433532,20,20,1.0
250,2,17.0455794102077,0.5922283445235605,0.019744314447819426,25,25,1.0
310,2,18.673856062008106,0.6214081648477342,0.013571079474360127,31,31,1.0
399,2,17.8504637913267,0.7035170701220104,0.01640414580856068,39,39,1.0
5,2,27.29823060017668,0.8333317138783384,0.0018628459415883274,0,0,2.0
40,2,21.949318699369517,0.765523909053528,0.006383636217999133,4,4,2.0
90,2,21.92279523787946,0.8052299336229575,0.006422741990422146,9,9,2.0
130,2,20.782653638861778,0.8138923752653949,0.008350926015819767,13,13,2.0
200,2,21.433897415678373,0.7229444810350426,0.00718803624666219,20,20,2.0
250,2,19.34582052168222,0.7354322611959959,0.01162566884050847,25,25,2.0
310,2,21.700086922971277,0.7336864108916544,0.006760694438931024,31,31,2.0
399,2,23.06325379966294,0.8640908991430821,0.0049394048067524085,39,39,2.0
5,4,42.01277582366208,0.986868052170213,6.291039581183058e-05,0,0,0.0
40,4,35.50390241970249,0.9914929872475966,0.0002815851567506307,4,4,0.0
90,4,35.038265082133336,0.9883764905747576,0.00031345376580932133,9,9,0.0
130,4,36.38361898567041,0.9911259202878346,0.0002299524819604059,13,13,0.0
200,4,36.81779730863005,0.9896417671712434,0.00020807517527399177,20,20,0.0
250,4,39.920474969474796,0.9971891182762002,0.00010184799951209415,25,25,0.0
310,4,34.793962313455246,0.9796582634606062,0.00033159178961510334,31,31,0.0
399,4,37.898570286650305,0.9963684361743473,0.00016223440910778306,39,39,0.0
5,4,10.592906914571143,0.03569624678611392,0.08723872476572664,0,0,1.0
40,4,12.894710116082443,0.18221496721960964,0.05134864506753093,4,4,1.0
90,4,12.536261006891689,0.20287192715189867,0.055766565618803804,9,9,1.0
130,4,12.485226088601024,0.22086496171363407,0.056425756599503205,13,13,1.0
200,4,13.299989076439909,0.17494167359525034,0.046773631775606006,20,20,1.0
250,4,12.418282712582378,0.1981196896108887,0.05730225708020232,25,25,1.0
310,4,13.650337433782752,0.2428999674624088,0.04314855503926061,31,31,1.0
399,4,11.838351090337785,0.16605991141264276,0.06548847705614178,39,39,1.0
5,4,29.25893709866347,0.9944237152997054,0.001186058991189654,0,0,2.0
40,4,26.378262529204775,0.9582855487102996,0.0023023627335357925,4,4,2.0
90,4,21.63412343847858,0.9173248111216235,0.006864164078008647,9,9,2.0
130,4,17.19654344020173,0.7717850400516455,0.019069778822207097,13,13,2.0
200,4,20.985119082682594,0.8093191181273764,0.007970546352111977,20,20,2.0
250,4,8.194722022766218,0.32385414791612305,0.15154017963467672,25,25,2.0
310,4,13.26124916921782,0.6855237643425907,0.04719272804270175,31,31,2.0
399,4,25.24257184116156,0.9451689018159719,0.002990493177034528,39,39,2.0
5,6,45.06160201135594,0.9920449486798373,3.117739310418491e-05,0,0,0.0
40,6,46.21055159648539,0.9994880621335712,2.393011801190073e-05,4,4,0.0
90,6,40.6071321745489,0.9948912372334962,8.695344291675174e-05,9,9,0.0
130,6,40.98444978989516,0.9993388492873231,7.971774790530971e-05,13,13,0.0
200,6,42.50889356185871,0.9989493645461447,5.6119093063758396e-05,20,20,0.0
250,6,43.665734735041674,0.9993112037517964,4.299584875321668e-05,25,25,0.0
