round,success_rate,psnr_mean,psnr_std,ssim_mean,ssim_std
1,1.0,61.22823563638352,2.197188803620974,0.9999612997952104,3.991754767056295e-05
2,0.9375,35.854339731467064,8.191121158792585,0.9291295397260688,0.24126631282069483
4,1.0,37.53431252785218,2.828145951482032,0.9891674321030134,0.006541078253443612
6,1.0,45.19773306415367,4.156000993496118,0.9979171951151111,0.0022048319795047655
8,1.0,46.55425202754384,6.733411999906541,0.9981387187997963,0.0035895376347740092
10,1.0,51.0474625625258,9.5693585211805,0.9993822813098646,0.0016607543229505534
12,0.6875,39.06822750869057,22.15789862203658,0.7404500327492031,0.41836246004700933
15,0.75,38.53325784066351,21.26260668706855,0.754449920914641,0.4239520130989235
18,0.625,29.342278196686053,20.124641987858844,0.6475623553133495,0.4505470319131342
20,0.625,28.206435606343142,18.370297849076838,0.6893565821544417,0.39835172613537356
22,0.5,23.752535511079678,16.393946917681458,0.6244817928786224,0.3953137396320902
25,0.0,5.47531508604425,0.6640016735502722,0.011757384623551286,0.03261770336793236
30,0.0625,7.696764564242832,4.2068084436234345,0.08952017347407962,0.1858321533862307
40,0.0,5.474282096185049,0.2563823083422344,0.007779724738696604,0.015992179204427744
50,0.0,5.424758991421108,0.38841350796292795,0.004639760313018437,0.016334845051633136
