round,iid_acc_mean,iid_acc_std,dirichlet_a1.0_acc_mean,dirichlet_a1.0_acc_std,dirichlet_a0.1_acc_mean,dirichlet_a0.1_acc_std
0,0.03333333333333333,0.005892556509887895,0.03333333333333333,0.005892556509887895,0.03333333333333333,0.005892556509887895
1,0.025000000000000005,3.469446951953614e-18,0.03333333333333333,0.011785113019775794,0.025000000000000005,3.469446951953614e-18
2,0.0375,0.010206207261596576,0.020833333333333332,0.005892556509887897,0.041666666666666664,0.011785113019775792
3,0.07083333333333333,0.005892556509887895,0.06666666666666667,0.01178511301977579,0.05416666666666667,0.021245914639969936
4,0.17916666666666667,0.02357022603955158,0.16666666666666666,0.04124789556921527,0.10833333333333334,0.04249182927993987
5,0.22916666666666666,0.03584302194601095,0.3208333333333333,0.0868027777333319,0.1875,0.10206207261596575
6,0.2916666666666667,0.05034602488997738,0.3833333333333333,0.025685058345704073,0.2625,0.06208193510729725
7,0.3458333333333334,0.048232653761625936,0.4791666666666667,0.07523112535528245,0.35000000000000003,0.07144345083117602
8,0.39999999999999997,0.027003086243366083,0.5499999999999999,0.12374368670764581,0.31666666666666665,0.09260879487872029
9,0.4333333333333333,0.02946278254943948,0.5625,0.06373774391990981,0.2916666666666667,0.07660323462854267
10,0.49166666666666664,0.01559023911155808,0.5583333333333333,0.07660323462854267,0.3958333333333333,0.05034602488997738
11,0.525,0.03679900360969937,0.65,0.08164965809277258,0.44999999999999996,0.07144345083117602
12,0.5666666666666667,0.01178511301977575,0.6541666666666667,0.04249182927993988,0.43333333333333335,0.06236095644623237
13,0.625,0.04448782605013046,0.6708333333333334,0.03280836614171586,0.5208333333333334,0.05892556509887896
14,0.6333333333333333,0.021245914639969915,0.7124999999999999,0.056825757070774426,0.5166666666666667,0.09147707666708395
15,0.6791666666666666,0.035843021946010946,0.7208333333333333,0.06947221666888777,0.5166666666666666,0.10424996669330669
16,0.7041666666666666,0.021245914639969915,0.7208333333333333,0.05621140651346682,0.5625,0.04677071733467428
17,0.7166666666666667,0.011785113019775802,0.7416666666666667,0.04124789556921528,0.6541666666666667,0.12679270045585783
18,0.7416666666666667,0.023570226039551608,0.7541666666666668,0.061520096084305795,0.6583333333333333,0.05621140651346682
19,0.725,0.04448782605013046,0.775,0.02041241452319317,0.6041666666666666,0.062360956446232366
20,0.75,0.05682575707077438,0.7875,0.017677669529663678,0.6,0.04448782605013046
21,0.7833333333333333,0.023570226039551605,0.7999999999999999,0.056825757070774384,0.6333333333333333,0.04714045207910316
