noise_multiplier,epsilon,clip_norm,sample_rate,acc_mean,acc_std,dlg_psnr,dlg_ssim
0.0,inf,10.0,1.0,0.9500000000000001,0.04448782605013049,84.10112824628436,0.9999998120795516
0.1,25046.051701859873,10.0,1.0,0.9249999999999999,0.07071067811865477,5.084088564867727,0.007402021451576248
0.2,6296.051701859879,10.0,1.0,0.9291666666666667,0.05621140651346685,4.8658929662402235,0.00814977634865344
0.3,2823.8294796376586,10.0,1.0,0.9375,0.04448782605013046,4.787209768739552,-0.0013091020491694564
0.5,1046.051701859881,10.0,1.0,0.8916666666666666,0.08312473893025002,4.848030261728259,0.0026040490716445906
0.7,556.2557834925341,10.0,1.0,0.8666666666666667,0.11008204011352422,4.879069823068642,0.006789890869129139
1.0,296.0517018598809,10.0,1.0,0.7625000000000001,0.11770372409854613,4.741329204457861,-0.004582909373373939
1.5,156.35918426327376,10.0,1.0,0.5625000000000001,0.11770372409854613,4.872024421175411,0.004565739758191091
2.0,98.02585092994046,10.0,1.0,0.075,0.017677669529663684,4.865790975289176,0.007217148910901718
3.0,54.23945617551586,10.0,1.0,0.025000000000000005,3.469446951953614e-18,4.883675823699468,0.0058697632482855285
